Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;1;1;600000;true;true;6457;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;2;1;600000;true;true;3388;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;3;1;600000;true;true;3506;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;4;1;600000;true;true;3425;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;5;1;600000;true;true;4058;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;6;1;600000;true;true;3502;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;7;1;600000;true;true;3444;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;8;1;600000;true;true;3380;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;9;1;600000;true;true;4238;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;TightVNC;29;66;10;1;600000;true;true;5413;13;2;1;1260;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;1;1;600000;true;true;618348;152;2;1;614008;1;-1;-1;-1;-1;602.26685;99.15012;93310;5.11858;0.02993
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;2;1;600000;true;true;574372;153;2;1;614008;1;-1;-1;-1;-1;565.16449;99.22882;92764;4.35845;0.02564
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;3;1;600000;true;true;509933;149;2;1;614008;1;-1;-1;-1;-1;498.40883;99.10821;93856;4.44477;0.02584
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;4;1;600000;true;true;589717;153;2;1;614008;1;-1;-1;-1;-1;576.711;99.24596;92764;4.34865;0.02558
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;5;1;600000;true;true;513574;148;2;1;614008;1;-1;-1;-1;-1;504.4888;99.15881;93310;4.24372;0.02482
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;6;1;600000;true;true;489457;155;2;1;614008;1;-1;-1;-1;-1;481.13768;99.15391;93310;4.07087;0.02381
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;7;1;600000;true;true;513331;154;2;1;614008;1;-1;-1;-1;-1;503.38222;99.1751;92764;4.15241;0.02443
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;8;1;600000;true;true;526483;152;2;1;614008;1;-1;-1;-1;-1;517.07171;99.24899;92764;3.88327;0.02284
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;9;1;600000;true;true;515945;151;2;1;614008;1;-1;-1;-1;-1;507.85758;99.24627;91126;3.82788;0.02292
Joshua Sprey;Chvatal_t2;1;WaterlooGenerated;581;1460;10;1;600000;true;true;491075;152;2;1;614008;1;-1;-1;-1;-1;482.9672;99.19061;92764;3.90907;0.02299
Joshua Sprey;Chvatal_t2;2;APL;24;59;1;1;600000;true;true;2157;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;2;1;600000;true;true;2082;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;3;1;600000;true;true;2022;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;4;1;600000;true;true;2047;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;5;1;600000;true;true;2061;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;6;1;600000;true;true;2178;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;7;1;600000;true;true;2077;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;8;1;600000;true;true;2006;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;9;1;600000;true;true;2293;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;APL;24;59;10;1;600000;true;true;2025;11;2;1;520;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;1;1;600000;true;true;288655;510;2;1;111892;1;-1;-1;-1;-1;276.9124;99.68743;21293;0.86553;0.02219
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;2;1;600000;true;true;277813;505;2;1;111892;1;-1;-1;-1;-1;264.00781;99.62782;21293;0.98258;0.02519
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;3;1;600000;true;true;256661;510;2;1;111892;1;-1;-1;-1;-1;242.60413;99.68518;21293;0.76376;0.01958
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;4;1;600000;true;true;270045;510;2;1;111892;1;-1;-1;-1;-1;258.51692;99.63765;21293;0.93674;0.02402
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;5;1;600000;true;true;260201;510;2;1;111892;1;-1;-1;-1;-1;244.92811;99.64831;21838;0.86138;0.02153
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;6;1;600000;true;true;246038;507;2;1;111892;1;-1;-1;-1;-1;228.4555;99.63432;21293;0.83542;0.02142
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;7;1;600000;true;true;261456;510;2;1;111892;1;-1;-1;-1;-1;247.90459;99.642;21293;0.88749;0.02276
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;8;1;600000;true;true;249174;510;2;1;111892;1;-1;-1;-1;-1;238.55316;99.62863;21293;0.8859;0.02272
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;9;1;600000;true;true;253665;510;2;1;111892;1;-1;-1;-1;-1;243.37406;99.64933;21293;0.85344;0.02188
Joshua Sprey;Chvatal_t2;3;uClibc;314;1593;10;1;600000;true;true;245444;511;2;1;111892;1;-1;-1;-1;-1;235.12089;99.67695;21293;0.75956;0.01948
Joshua Sprey;Chvatal_t2;4;FeatureIDE;20;47;1;1;600000;true;true;2063;13;2;1;584;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;4;FeatureIDE;20;47;2;1;600000;true;true;1884;13;2;1;584;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;4;FeatureIDE;20;47;3;1;600000;true;true;1893;13;2;1;584;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;4;FeatureIDE;20;47;4;1;600000;true;true;1971;13;2;1;584;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;4;FeatureIDE;20;47;5;1;600000;true;true;2004;13;2;1;584;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
